production_number | air_date                    | title
CP-1424           | 2002-02-16                  | Coast to Coast 15
CP-1425           | 2002-02-23                  | Coast to Coast 16
CP-1426           | 2002-03-02                  | Coast to Coast 17
CP-1427           | 2002-02-23                  | Coast to Coast 18
CP-1428           | 2002-03-09                  | Coast to Coast 19
CP-1429           | 2002-03-16                  | Coast to Coast 20
CP-1430           | 2002-04-06                  | Coast to Coast 21
CP-1431           | 2002-04-27                  | Coast to Coast 22
CP-1432           | 2002-04-27                  | Coast to Coast 23
CP-1433           | 2002-09-21                  | Coast to Coast 24
CP-1434           | 2002-04-27                  | Naked Cops 1 Special Edition
CP-1435           | 2002-04-27                  | Too Hot for Fox Special Edition
CP-1436           | 2002-09-14                  | Extreme Cops

CP-1501           | 2002-05-04                  | Coco the Clown
CP-1502           | 2002-05-18                  | Mardi Gras 2002 Pt 1
CP-1503           | 2002-05-18                  | Mardi Gras 2002 Pt 2
CP-1504           | 2002-12-14                  | Coast to Coast 25
CP-1505           | 2002-12-07                  | Coast to Coast 26
CP-1506           | 2003-01-18                  | Coast to Coast 27
CP-1507           | 2003-01-25                  | Coast to Coast 28
CP-1508           | 2003-01-25                  | Coast to Coast 29
CP-1509           | 2002-11-16                  | Coast to Coast 30
CP-1510           | 2003-10-01                  | Coast to Coast 31
CP-1511           | 2002-11-23                  | Coast to Coast 32
CP-1512           | 2003-03-08                  | Coast to Coast 33
CP-1513           | 2003-03-15                  | Coast to Coast 34
CP-1514           | 2003-03-22                  | Coast to Coast 35
CP-1515           | 2003-02-15                  | Domestic Disturbance Special Edition
CP-1516           | 2003-04-12                  | Coast to Coast 36
CP-1517           | 2003-04-19                  | Coast to Coast 37
CP-1518           | 2002-09-14                  | Grand Theft Auto 1 Special Edition
CP-1519           | 2002-11-09                  | Coast to Coast 38
CP-1520           | 2002-11-02                  | Shots Fired Special Edition
CP-1521           | 2002-09-28                  | Kids in Peril Special Edition
CP-1522           | 2003-04-19                  | Coast to Coast 39
CP-1523           | 2003-04-26                  | Coast to Coast 40
CP-1524           | 2003-05-03                  | Coast to Coast 41
CP-1525           | 2003-07-12                  | Coast to Coast 42
CP-1526           | 2003-05-03                  | Coast to Coast 43
CP-1527           | 2002-11-23                  | Bad Girls! 1 Special Edition
CP-1528           | 2003-07-19                  | Coast to Coast 44
CP-1529           | 2003-07-26                  | Coast to Coast 45
CP-1530           | 2003-08-02                  | Coast to Coast 46
CP-1531           | 2003-02-22                  | Stun Gun Special Edition
CP-1532           | 2003-09-20                  | Coast to Coast 47
CP-1533           | 2003-09-27                  | Coast to Coast 48
CP-1534           | 2003-05-17                  | Guns Special Edition
CP-1535           | 2003-05-17                  | Drug Enforcement Special Edition
CP-1536           | 2003-02-01                  | Bad Girls! 2 Special Edition

CP-1601           | 2003-05-10                  | Bad Girls! 3 Mardi Gras Special Edition
CP-1602           | 2003-04-26                  | Mardi Gras 2003 Pt 2
CP-1603           | 2003-12-06                  | Coast to Coast 49
CP-1604           | 2003-11-22                  | Bad Girls! 4 Special Edition
CP-1605           | 2003-12-13                  | Coast to Coast 50
CP-1606           | 2004-01-03                  | Coast to Coast 51
CP-1607           | 2004-01-10                  | Coast to Coast 52
CP-1608           | 2004-01-17                  | Coast to Coast 53
CP-1609           | 2003-11-03                  | Resisting Arrest Special Edition
CP-1610           | 2004-01-24                  | Foolish Criminals Special Edition
CP-1611           | 2003-09-13                  | Rescues 1 Special Edition
CP-1612           | 2004-03-06                  | Coast to Coast 54
CP-1613           | 2003-09-13                  | Rescues 2 Special Edition
CP-1614           | 2004-01-31                  | Coast to Coast 55
CP-1615           | 2004-02-21                  | Stupid Criminals Special Edition
CP-1616           | 2004-02-07                  | War on Drugs 1 Special Edition
CP-1617           | 2004-05-01                  | Drug Busts 2 Special Edition
CP-1618           | 2003-11-03                  | Jersey Cop Special Edition
CP-1619           | 2004-03-13                  | Coast to Coast 56
CP-1620           | 2004-03-20                  | Coast to Coast 57
CP-1621           | 2004-04-03                  | Coast to Coast 58
CP-1622           | 2004-04-10                  | Coast to Coast 59
CP-1623           | 2004-04-17                  | Coast to Coast 60
CP-1624           | 2003-11-01                  | Naked Cops 2 Special Edition AKA Naked Perps or Perpetrators.
CP-1625           | 2004-05-22                  | Bad Girls! 5 Special Edition
CP-1626           | 2004-04-24                  | Coast to Coast 61
CP-1627           | 2004-02-07                  | War on Drugs 2 Special Edition
CP-1628           | 2004-07-10                  | Coast to Coast 62
CP-1629           | 2004-02-28                  | Armed & Dangerous Special Edition
CP-1630           | 2004-07-17                  | Coast to Coast 63
CP-1631           | 2004-07-24                  | Coast to Coast 64
CP-1632           | 2004-07-31                  | Coast to Coast 65
CP-1633           | 2004-05-08                  | Hide 'N Seek Special Edition
CP-1634           | 2003-12-20                  | Ho! Ho! Ho! 1 Special Edition
CP-1635           | 2004-10-02                  | Coast to Coast 66
CP-1636           | 2004-02-28                  | Guns & Drugs Special Edition
CP-1637           | 2004-03-06                  | Resisting Arrest 2 Special Edition
CP-1638           | 2004-02-14                  | Love Hurts 2 Hour Special AKA Crimes of Passion.
CP-1639           | 2004-02-14                  | Love Hurts 2 Hour Special AKA Crimes of Passion.
CP-1640           | 2004-05-01                  | Caught Red Handed -- 15 Greatest Takedowns
CP-1641           | 2004-05-01                  | Caught Red Handed -- 15 Greatest Takedowns

CP-1701           | 2004-05-15                  | Mardi Gras 2004 Pt 1
CP-1702           | 2004-05-15                  | Mardi Gras 2004 Pt 2
CP-1703           | 2004-09-11                  | Coast to Coast 67
CP-1704           | 2004-09-11                  | Coast to Coast 68
CP-1705           | 2004-09-18                  | Coast to Coast 69
CP-1706           | 2004-09-25                  | Resisting Arrest 3 Special Edition
CP-1707           | 2004-12-04                  | Coast to Coast 70
CP-1708           | 2005-01-08                  | Maui Wowie Special Edition
CP-1709           | 2005-03-05                  | Coast to Coast 71
CP-1710           | 2004-11-06                  | Tased and Confused Special Edition
CP-1711           | 2005-08-06                  | Coast to Coast 72
CP-1712           | 2004-12-11                  | Ho! Ho! Ho! 2 Special Edition
CP-1713           | 2005-01-22                  | Got a Habit Special Edition
CP-1714           | 2005-05-21                  | Armed & Dangerous 2 Special Edition
CP-1715           | 2005-01-29                  | Busts
CP-1716           | 2005-02-19                  | Las Vegas Heat
CP-1717           | 2005-02-19                  | Las Vegas Heat
CP-1718           | 2005-02-05                  | Resisting Arrest 4 Special Edition
CP-1719           | 2005-03-05                  | Coast to Coast 73
CP-1720           | 2005-04-30                  | 600th Milestone Episode
CP-1721           | 2004-11-13                  | Grand Theft Auto 2 Special Edition
CP-1722           | 2005-05-14                  | Grand Theft Auto 3 Special Edition
CP-1723           | 2005-04-16                  | Coast to Coast 74
CP-1724           | 2004-11-19                  | Bad Girls! 6 Special Edition
CP-1725           | 2005-04-09                  | High Times
CP-1726           | 2005-03-19                  | Coast to Coast 75
CP-1727           | 2005-04-30                  | Coast to Coast 76
CP-1728           | 2005-04-30                  | Coast to Coast 77
CP-1729           | 2005-07-02                  | Coast to Coast 78
CP-1730           | 2005-02-05                  | High Crimes Special Edition
CP-1731           | 2005-07-09                  | Coast to Coast 79
CP-1732           | 2005-07-16                  | Coast to Coast 80
CP-1733           | 2005-04-30                  | Caught in the Act Special
CP-1734           | 2005-05-21                  | Bizarre Calls Special Edition
CP-1735           | 2005-02-26                  | Bad Girls! 7 Special Edition
CP-1736           | 2005-07-23                  | Coast to Coast 81

CP-1801           | 2005-10-01                  | Coast to Coast 82
CP-1802           | 2005-12-03                  | Coast to Coast 83
CP-1803           | 2005-12-10                  | Coast to Coast 84
CP-1804           | 2005-11-05                  | Coast to Coast 85
CP-1805           | 2006-01-07                  | Coast to Coast 86
CP-1806           | 2006-01-14                  | Coast to Coast 87
CP-1807           | 2005-09-17                  | Coast to Coast 88
CP-1808           | 2005-09-10                  | Coast to Coast 89
CP-1809           | 2005-09-24                  | Coast to Coast 90
CP-1810           | 2006-01-21                  | Coast to Coast 91
CP-1811           | 2006-01-28                  | Coast to Coast 92
CP-1812           | 2006-03-04                  | Coast to Coast 93
CP-1813           | 2005-11-26                  | Las Vegas Heat 2 Special Edition
CP-1814           | 2006-02-11                  | Las Vegas Heat 3 Special Edition
CP-1815           | 2006-02-25                  | Coast to Coast 94
CP-1816           | 2006-02-04                  | Coast to Coast 95
CP-1817           | 2005-09-10                  | Coast to Coast 96
CP-1818           | 2006-02-04                  | Coast to Coast 97
CP-1819           | 2006-03-11                  | Coast to Coast 98
CP-1820           | 2006-05-20                  | 650th Milestone Episode Special Edition
CP-1821           | 2006-03-25                  | Coast to Coast 99
CP-1822           | 2006-04-08                  | Coast to Coast 100
CP-1823           | 2005-11-12                  | Bad Girls! 8 Special Edition
CP-1824           | 2005-11-19                  | In Harms Way Special Edition
CP-1825           | 2006-04-15                  | Coast to Coast 101
CP-1826           | 2006-06-03                  | Coast to Coast 102
CP-1827           | 2006-06-10                  | Coast to Coast 103
CP-1828           | 2005-12-17                  | Ho! Ho! Ho! Special Edition 3
CP-1829           | 2006-06-17                  | Coast to Coast 104
CP-1830           | 2006-05-06                  | Bad Girls! 9 Special Edition
CP-1831           | 2006-03-18                  | Coast to Coast 105
CP-1832           | 2006-07-08                  | Coast to Coast 106
CP-1833           | 2006-05-20                  | Palm Springs Weekend Special
CP-1834           | 2006-07-15                  | Coast to Coast 107
CP-1835           | 2006-04-29                  | Drug Arrests Special Edition
CP-1836           | 2006-07-22                  | Coast to Coast 108

CP-1901           | 2006-09-09                  |  Coast to Coast 109
CP-1902           | 2006-09-16                  |  Coast to Coast 110
CP-1903           | 2006-09-23                  |  Coast to Coast 111
CP-1904           | 2006-09-09                  |  Coast to Coast 112
CP-1905           | 2006-11-11                  |  Florida Heat 1 Special Edition
CP-1906           | 2006-11-04                  |  Drug Arrests 2 Special Edition
CP-1907           | 2006-09-30                  |  Coast to Coast 113
CP-1908           | 2006-11-18                  |  Police Chases Special Edition
CP-1909           | 2007-02-03                  |  Florida Heat 2 Special Edition
CP-1910           | 2007-04-28                  |  Police Pullovers 1 Special Edition
CP-1911           | 2006-12-02                  |  Coast to Coast 114
CP-1912           | 2007-05-19                  |  High Crimes 2 Special Edition
CP-1913           | 2006-12-09                  |  Coast to Coast 115
CP-1914           | 2007-07-21                  |  Family Ties Special Edition
CP-1915           | 2006-12-23                  |  Coast to Coast 116
CP-1916           | 2007-02-24                  |  Liar Liar Special Edition
CP-1917           | 2007-01-07                  |  Coast to Coast 117
CP-1918           | 2007-05-19                  |  Ohio Drug Arrests Special Edition
CP-1919           | 2007-01-20                  |  Coast to Coast 118
CP-1920           | 2007-04-28                  |  Police Pullovers 2 Special Edition
CP-1921           | 2007-01-27                  |  Coast to Coast 119
CP-1922           | 2007-03-03                  |  Coast to Coast 120
CP-1923           | 2006-12-16                  |  Ho! Ho! Ho! 4 Special Edition
CP-1924           | 2007-03-10                  |  Coast to Coast 121
CP-1925           | 2007-07-07                  |  High Crimes 3 Special Edition
CP-1926           | 2007-03-17                  |  Coast to Coast 122
CP-1927           | 2007-03-24                  |  Coast to Coast 123
CP-1928           | 2007-04-07                  |  Coast to Coast 124
CP-1929           | 2007-07-14                  |  Street Crimes Special Edition
CP-1930           | 2007-02-17                  |  Tough Takedowns Special Edition
CP-1931           | 2006-11-25                  |  Bad Girls! 10 Special Edition
CP-1932           | 2007-06-02                  |  Coast to Coast 125
CP-1933           | 2007-06-09                  |  Coast to Coast 126
CP-1934           | 2007-06-16                  |  Coast to Coast 127
CP-1935           | 2007-06-23                  |  Coast to Coast 128
CP-1936           | 2007-07-28                  |  Coast to Coast 129

CP-2001           | 2007-09-15                  | Coast to Coast 130
CP-2002           | 2007-09-22                  | Coast to Coast 131
CP-2003           | 2007-10-06                  | Coast to Coast 132
CP-2004           | 2007-11-17                  | Police Pullovers 3 Special Edition
CP-2005           | 2007-11-24                  | Stupid Criminals 2 Special Edition
CP-2006           | 2007-11-03                  | Crimes in Progress Special Edition
CP-2007           | 2007-09-08                  | Evidence...What Evidence? 1 Special Edition
CP-2008           | 2007-11-10                  | 700th Milestone Episode
CP-2009           | 2007-09-08                  | Coast to Coast 133
CP-2010           | 2007-10-20                  | Coast to Coast 134
CP-2011           | 2007-12-08                  | Coast to Coast 135
CP-2012           | 2008-04-26                  | Caught in the Act 3 Special Edition
CP-2013           | 2008-01-19                  | Coast to Coast 136
CP-2014           | 2008-03-15                  | Strange Behavior 1 Special Edition
CP-2015           | 2008-02-23                  | Stupid Criminals 3 Special Edition
CP-2016           | 2008-01-26                  | Coast to Coast 137
CP-2017           | 2008-02-23                  | War on Drugs 3 Special Edition
CP-2018           | 2008-03-01                  | Takedowns Special Edition
CP-2019           | 2008-05-17                  | Stupid Criminals 4 Special Edition
CP-2020           | 2008-03-08                  | Coast to Coast 138
CP-2021           | 2008-05-07                  | What Were They Thinking 1 Special Edition
CP-2022           | 2007-12-15                  | Family Feuds Special Edition
CP-2023           | 2008-04-19                  | In Denial Special Edition
CP-2024           | 2008-02-16                  | Chases and Takedowns Special Edition
CP-2025           | 2008-03-22                  | Coast to Coast 139
CP-2026           | 2008-03-29                  | Coast to Coast 140
CP-2027           | 2008-02-02                  | Stupid Behavior 1 Special Edition
CP-2028           | 2008-05-31                  | Coast to Coast 141
CP-2029           | 2008-07-12                  | Coast to Coast 142
CP-2030           | 2008-06-14                  | What Were They Thinking 2 Special Edition
CP-2031           | 2008-06-21                  | Stupid Behavior 2 Special Edition
CP-2032           | 2008-08-02                  | Police Pullovers 4 Special Edition
CP-2033           | 2008-07-19                  | Coast to Coast 143
CP-2034           | 2008-02-02                  | Wild Chases Special Edition
CP-2035           | 2008-02-16                  | Bad Girls! 11 Special Edition
CP-2036           | 2008-07-26                  | Coast to Coast 144
CP-2037           | 2007-09-29                  | 20 Years Caught on Tape
CP-2038           | 2007-09-29                  | 20 Years Caught on Tape

CP-2101           | 2008-09-06                  | What a Sap Special Edition
CP-2102           | 2008-09-13                  | Stupid Behavior 3 Special Edition
CP-2103           | 2008-09-20                  | Resisting Arrest 4 Special Edition
CP-2104           | 2008-09-27                  | Black & Blue & White Special Edition
CP-2105           | 2008-10-04                  | Coast to Coast 145
CP-2106           | 2008-10-11                  | What! Who Me? Special Edition
CP-2107           | 2008-09-06                  | Back to Broward Special Edition
CP-2108           | 2008-11-01                  | Morons on Parade Special Edition
CP-2109           | 2008-11-08                  | Anger Management Special Edition
CP-2110           | 2008-11-15                  | Liar Liar 2 Special Edition
CP-2111           | 2008-11-22                  | Evidence...What Evidence? 2 Special Edition
CP-2112           | 2008-12-06                  | Coast to Coast 146
CP-2113           | 2009-01-17                  | Coast to Coast 147
CP-2114           | 2009-01-24                  | Coast to Coast 148
CP-2115           | 2009-01-31                  | Coast to Coast 149
CP-2116           | 2008-02-06                  | Coast to Coast 150
CP-2117           | 2008-02-14                  | Upon Further Investigation Special Edition
CP-2118           | 2009-02-21                  | Neighborhood Busts Special Edition
CP-2119           | 2009-02-28                  | In Denial 2 Special Edition
CP-2120           | 2009-03-07                  | Liar Liar 3 Special Edition
CP-2121           | 2009-03-14                  | On the Run Special Edition
CP-2122           | 2009-03-21                  | 750th Milestone Episode
CP-2123           | 2009-03-28                  | Dazed and Confused Special Edition
CP-2124           | 2009-03-28                  | High Crimes 4 Special Edition
CP-2125           | 2009-04-25                  | From Bad to Worse Special Edition
CP-2126           | 2008-12-13                  | Ho! Ho! Ho! 5 Special Edition
CP-2127           | 2009-04-11                  | Coast to Coast 151
CP-2128           | 2009-03-21                  | Bad Girls! 12 Special Edition
CP-2129           | 2009-04-25                  | Police Pullovers 5 Special Edition
CP-2130           | 2009-05-30                  | Coast to Coast 153
CP-2131           | 2009-06-06                  | Coast to Coast 154
CP-2132           | 2009-05-16                  | Coast to Coast 152
CP-2133           | 2009-07-11                  | Coast to Coast 155
CP-2134           | 2009-07-18                  | Coast to Coast 156
CP-2135           | 2009-05-16                  | Odd Arrests Special Edition
CP-2136           | 2009-07-25                  | Coast to Coast 157
